,time,lat,lon,alt,pol,mds,mcg,status,region,delay,geometry
0,2020-04-12 14:27:02.163610600,34.755835,-89.355229,0,0,11711,259,0,3,16.5,POINT (-89.35522899999999 34.755835)
1,2020-04-12 14:27:02.223428600,32.758028,-92.759724,0,0,9031,139,0,3,16.5,POINT (-92.75972400000001 32.758028)
2,2020-04-12 14:27:02.255966700,32.826938,-92.736353,0,0,9592,199,0,3,16.6,POINT (-92.73635299999999 32.826938)
3,2020-04-12 14:27:02.474616800,32.843228,-91.686746,0,0,14959,268,0,3,16.4,POINT (-91.686746 32.843228)
4,2020-04-12 14:27:04.388902000,49.65495,3.294291,0,0,12048,67,0,1,14.6,POINT (3.294291 49.65495)
5,2020-04-12 14:27:02.684429800,34.82397,-89.661476,0,0,4554,226,0,3,16.4,POINT (-89.66147599999999 34.82397)
6,2020-04-12 14:27:02.684442400,34.849087,-89.636741,0,0,7279,182,0,3,16.5,POINT (-89.636741 34.849087)
7,2020-04-12 14:27:03.017557000,34.737022,-88.05263,0,0,9579,123,0,3,16.3,POINT (-88.05262999999999 34.737022)
8,2020-04-12 14:27:03.112761600,32.80373,-92.192751,0,0,4007,206,0,3,16.3,POINT (-92.192751 32.80373)
9,2020-04-12 14:27:03.112760000,32.811194,-92.192818,0,0,8445,172,0,3,16.4,POINT (-92.192818 32.811194)
10,2020-04-12 14:27:03.494217200,34.767139,-87.607325,0,0,7584,218,0,3,16.1,POINT (-87.607325 34.767139)
11,2020-04-12 14:27:03.910137900,31.791017,-94.299929,0,0,14412,99,0,3,15.8,POINT (-94.29992900000001 31.791017)
12,2020-04-12 14:27:03.910172000,31.8609,-94.207018,0,0,6854,189,0,3,15.9,POINT (-94.20701800000001 31.8609)
13,2020-04-12 14:27:04.030344200,31.821046,-94.32599,0,0,6688,150,0,3,15.9,POINT (-94.32599 31.821046)
14,2020-04-12 14:27:04.329536800,34.471565,-86.390312,0,0,12294,266,0,3,15.7,POINT (-86.39031199999999 34.471565)
15,2020-04-12 14:27:05.345798700,33.544265,-92.060647,0,0,7348,153,0,3,14.8,POINT (-92.060647 33.544265)
16,2020-04-12 14:27:05.878272800,34.614372,-90.044726,0,0,5699,234,0,3,14.3,POINT (-90.044726 34.614372)
17,2020-04-12 14:27:05.878299600,34.58292,-90.029645,0,0,14242,143,0,3,14.4,POINT (-90.029645 34.58292)
18,2020-04-12 14:27:06.713767000,31.885611,-94.224451,0,0,12202,139,0,3,13.7,POINT (-94.224451 31.885611)
19,2020-04-12 14:27:07.028801500,31.977443,-94.10406,0,0,8418,146,0,3,13.5,POINT (-94.10406 31.977443)
20,2020-04-12 14:27:07.193411600,32.904204,-93.04545,0,0,10200,215,0,3,13.4,POINT (-93.04545 32.904204)
21,2020-04-12 14:27:07.560026600,34.581186,-89.713964,0,0,13690,212,0,3,13.2,POINT (-89.713964 34.581186)
22,2020-04-12 14:27:07.560068000,34.632413,-89.685368,0,0,12780,220,0,3,13.3,POINT (-89.685368 34.632413)
23,2020-04-12 14:27:10.513517000,32.79167,-90.232431,0,0,13144,156,0,3,10.4,POINT (-90.23243100000001 32.79167)
24,2020-04-12 14:27:10.513490400,32.679806,-90.392249,0,0,7819,242,0,3,10.5,POINT (-90.39224900000001 32.679806)
25,2020-04-12 14:27:11.032567000,34.569686,-89.465779,0,0,14084,136,0,3,10.1,POINT (-89.465779 34.569686)
26,2020-04-12 14:27:11.150158300,32.635529,-90.838915,0,0,13732,162,0,3,10.1,POINT (-90.838915 32.635529)
27,2020-04-12 14:27:11.211834000,32.755679,-90.381505,0,0,11546,119,0,3,10.1,POINT (-90.381505 32.755679)
28,2020-04-12 14:27:11.337318000,32.681405,-90.400357,0,0,12710,158,0,3,10.1,POINT (-90.400357 32.681405)
29,2020-04-12 14:27:11.337390600,32.877074,-90.422663,0,0,9763,248,0,3,10.2,POINT (-90.422663 32.877074)
30,2020-04-12 14:27:14.084257500,48.363244,6.038083,0,0,12154,148,0,1,7.5,POINT (6.038083 48.363244)
31,2020-04-12 14:27:11.609156400,35.222007,-88.647167,0,0,3721,269,0,3,10.1,POINT (-88.647167 35.222007)
32,2020-04-12 14:27:11.609195800,35.241347,-88.639743,0,0,6583,97,0,3,10.2,POINT (-88.639743 35.241347)
33,2020-04-12 14:27:14.636451000,0.224829,132.471003,0,0,11154,180,0,2,7.3,POINT (132.471003 0.224829)
34,2020-04-12 14:27:17.968342300,37.26285,48.325289,0,0,9936,187,0,4,4.1,POINT (48.325289 37.26285)
35,2020-04-12 14:27:14.346184200,48.335289,6.057235,0,0,7943,139,0,1,7.8,POINT (6.057235 48.335289)
36,2020-04-12 14:27:14.346178300,48.328882,6.080978,0,0,9108,153,0,1,7.9,POINT (6.080978 48.328882)
37,2020-04-12 14:27:12.384652500,35.017649,-87.465597,0,0,2645,213,0,3,9.9,POINT (-87.465597 35.017649)
38,2020-04-12 14:27:13.197572400,32.696406,-90.990221,0,0,14923,164,0,3,9.2,POINT (-90.99022100000001 32.696406)
39,2020-04-12 14:27:13.319759400,34.343441,-92.288412,0,0,7024,121,0,3,9.2,POINT (-92.28841199999999 34.343441)
40,2020-04-12 14:27:13.319781600,34.397933,-92.272293,0,0,3409,250,0,3,9.3,POINT (-92.272293 34.397933)
41,2020-04-12 14:27:13.319793200,34.412289,-92.26186,0,0,8594,178,0,3,9.4,POINT (-92.26186 34.412289)
42,2020-04-12 14:27:16.167298000,49.657754,2.505905,0,0,13524,89,0,1,6.7,POINT (2.505905 49.657754)
43,2020-04-12 14:27:13.356885500,34.238548,-92.447738,0,0,4282,261,0,3,9.6,POINT (-92.447738 34.238548)
44,2020-04-12 14:27:13.390590700,34.272829,-92.453305,0,0,6226,261,0,3,9.6,POINT (-92.453305 34.272829)
45,2020-04-12 14:27:13.633292300,34.518939,-92.259301,0,0,9210,255,0,3,9.5,POINT (-92.25930099999999 34.518939)
46,2020-04-12 14:27:14.506058200,32.7224,-91.083549,0,0,4580,246,0,3,8.7,POINT (-91.083549 32.7224)
47,2020-04-12 14:27:15.510100200,32.732133,-93.91315,0,0,7692,132,0,3,7.8,POINT (-93.91315 32.732133)
48,2020-04-12 14:27:15.510172700,32.950624,-93.748246,0,0,10912,255,0,3,7.9,POINT (-93.74824599999999 32.950624)
49,2020-04-12 14:27:15.633608200,32.825399,-93.805878,0,0,14476,189,0,3,7.9,POINT (-93.80587800000001 32.825399)
50,2020-04-12 14:27:15.633582800,32.786361,-93.853443,0,0,8835,180,0,3,8.0,POINT (-93.853443 32.786361)
51,2020-04-12 14:27:15.947088000,34.649446,-89.435976,0,0,9061,177,0,3,7.9,POINT (-89.435976 34.649446)
